labels,text,original_idx
1,"Man oh man. Such disappointment. Went to have a beer and dinner as I have been here many many times before. As we walked in, fencing played on the television. Yes, the one with swords. The match had ended. We politely asked to put the soccer match on the screen as we were the only humans paying any attention in the baron bar. The bartender, Brett, denied our request and made a \""compromise\"" and put the punisher on. Being that this movie sucked, we pleaded to go back to the fencing. But with no luck, we were forced to watch the punisher. Good food though.",445593
1,"So I ordered online via the Eat24 ipad app and while the order was incredibly simple to place, it took over 2 hours to arrive and when it did the food was cold and it was the wrong order. I had gotten 4 different large portioned items for my family, all of which are vegetarians except myself, and all of the orders reflected vegetarian options, aside from 1 chicken dish. When it arrived, not only was 2 of the 4 dishes totally missing, but the other two were the wrong orders and were all beef dishes which we hadn't ordered. I called to try and see what happened in regard to the missing items and getting either a refund or a replacement and was screamed at by a lady who claimed to be the owner. She told me I was lying about not getting the food, and that she had packed the order herself so she knew it was all there....however I even took a picture of the receipt and the food provided and sent it to her and she still did not believe me and was incredibly rude. She refused to refund me any money and refused to replace the order. She yelled at me and called me a liar until I just didn't want to listen to her anymore and was hung up. When  I tried calling back they were obviously screening my call and wouldn't pick up the phone. I couldn't believe that she had the nerve to call me a liar, after we hadn't ordered anything containing beef, and the only things to arrive were both beef dishes....even once I sent her the photo of the food she called me a liar. She tried to say that I made the food and switched it out to get a free meal!?!?! WTF? \n\nI will never give this place a penny of my money again. It is run by cheap scumbags who don't care about customer service or the quality of the products they produce.",449318
1,"Don't stay here unless you are single and under 30.  You could hear conversations from the pool through the sliding glass windows and every noise (including knocks on other guest room doors) from the hallway.  We stayed over night on a Saturday night and there was lots of \""Night Life\"" all around us.  It was not worth the $150 - $180 per night plus the $19 per night resort fee.  \n\nThankfully, we purchased a free night for a charity event otherwise I would have another complaint.",453610
2,"Great atmosphere-decor is interesting. Seats are comfortable even the high top table style. Menu offers many styles. Good drink options, too!",454952
1,"Horrendous! \n\nI ordered the Pad Thai Chicken. The overall color of the dish was orange. It was less than 1% vegetables with the occasional shred of carrot or onion). It also featured lovely aftertastes from multiple different dishes. There was an unmistakable shrimpy taste as well as a slight orangeyness that appeared in every bite. Every once in a while a spicy bit would rear its head as well, but those were few and far between. The amalgam of flavors on the dish resulted in a sticky, gooey, and pungent buildup of gunk slathered on to each and every noodle. I tried to give it a chance, but i stopped once my stomach started to echo my taste bud's complaints. \n\nMy companion fared slightly better. He ordered the kung-pao chicken entree. His was more tolerable but overall flavorless. Not a spice in sight and extremely bland. \n\nI'm not sure if we came in on a bad night or what. The pictures featured here look absolutely lovely. Unfortunately what ended up in our take out boxes was only fitting for the trash can. Not even a drunk college guy could stomach their food. He immediately regretted his attempt to fill his gut with such crap.",455530
1,This place needs some work for sure! First off how do you not have the ball ramps for younger kids?? You mean to tell me they are all broken?? How frustrating! There were many parents that felt ripped off because of the simple fact that the children were displeased with not being able to bowl with the ramps. It's was a sore sight to see looming down the lanes that every young child was upset cause they couldn't bowl like they anticipated with the ramps. After having bare witness with my grand daughter being let down and disappointed I doubt I will ever return to this place. Can't go wrong with their competitors. One day not have the ramps for kids cost this place my future business.,477197
1,"I came here for lunch for the first time and can say I won't be coming back anytime soon. The food was just OK and the portions were noticeably smaller than other BBQ joints in the Charlotte. The service, however, may have been the worst I've experienced since moving to the city. The guy seemed like he was just having a bad day - he was short when asked questions, our drink refills came with our check, etc. I'm pretty sure he didn't crack a smile the whole afternoon. \n\nI would have liked to come back to check out the happy hour scene since their bar looked really impressive but I will pass on that. As for my next BBQ fix, there's plenty of other (and better) BBQ joints in the city.",478872
1,"STAY AWAY- \nBought food at window of Blanco and then went to sit at one of the 19 empty tables. I was told I had to go and eat at another restaurant even though the food I had I just purchased from  them. Seems you can only use their tables if you purchase more food and drinks from the bar. Just got off a long flight and as a disabled veteran I was in a lot of pain and just wanted to eat. Seems the $23 I just spent on food from them was not enough for a seat. Manger said \""thanks for your service but you still have to eat at another restaurant with  that food as you bought if from our window and not table\""\nStay away not military or customer friendly at all!",490006
1,"Pretty cupcake, but certainly not worth the calories!!  Very dry cake and the frostings all tasted alike. We were very disappointed and will not be using the rest of our free cupcake coupons.",492842
2,"Sat at the bar, no complaints. The barkeep was attentive! Food came out quick! The truffle fries were amazing, the ketchup taste more like marinara sauce but it was good, the truffle dip was really great! Got the lamb burger it was exactly as described!",502540
1,"Very nice restaurant, but the service sucks!  The waiters were nice, but very slow.  Worst part is that there were only 3 tables in the restaurant.",513169
2,"I found this place thanks to Yelp! My husband and I wanted to go to a place with my Dad and it needed to be on his side of town. When I read the reviews, I knew we would love this place and I was right!\n\nI ordered the Southern Fish with fries and Joel ordered the Chicken and Waffles. We both shared some chili cheese fries as well. The prices are great. For both of us, with drinks, it came out to under $20. My Dad ordered the same as me and spent under $6. You get several pieces of fish and the cornmeal breading is so full of flavor. I thought mine was great, but Joel's chicken... Wow! I wanted to rip it away from him. I wanted to order more chicken just for myself, but I was so full from the fish! His waffle was cooked crisp on the outside and soft on the inside. Now let's talk about those chili cheese fries. They came in a large to go container smothered in chili and cheese! What more could you ask for! YUMMY!\n\nThe only down side is that there is no bathroom, but they do have a sink so you can wash all the tasty goodness off in. Also, be prepared to wait 'cause they cook everything to order. Which is totally fine in my book! \n\nYes, Sunny's, I will for sure be back for lots and lots of chicken!! What a great gem to have found! Thanks Yelp! You rock!",545353
1,"******************************************************\nDO NOT USE THE CARWASH IT WILL DAMAGE YOUR CAR!!!!!!\n******************************************************\n\n\n\n\n\nI am so disgusted at the way I was treated! I wish I could empty my gas tank out for this car and 2 other vehicles! I was ecstatic to know a new gas station had opened and was so close to Home! I did my normal gas fill up which became a habit for me and household of 3 cars to do here. Today I tried the car wash and the $9.00 car wash bent my license plate! A common, no fancy plate, or license plate cover. I tried to get help before I came into the car wash pushing the help button and NO one came no one came on intercom. I went through it with absolutely no help! This is not the first self car wash I go Into and nothing like this had happened. A gentleman came out when I told him my dilemma and he said we warn you about damage, I'm telling you just to tell you just to tell you just to tell you .. I haven't even finished and he is already giving excuses! He tried to bend back my plate and said to take it off at home and bend it out and left back in store no bye, no I'm sorry absolutely nothing I turned around he was GONE! So incredibly rude! This location lost $300 every week coming in from all my household cars! A simple here's your $9 back would of sufficed. I paid $9 to have my license plate bent and my car was not sufficiently cleaned at all! \n\n\n\n\nThe worst lack of service and RUDE! I wish I could give it negative stars!!!!",546422
